target,set,issue_d,loan_amnt,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,fico_range_low,fico_range_high,inq_last_6mths,emp_title,title,fuente
0,val,2014-05-25,29253,11.77,699.21,B,B3,1 year,MORTGAGE,77179.14,Verified,home_improvement,7.42,0,8,0,6444,38.59,42,665,753,1,synthetic,synthetic loan,smoke
0,val,2014-05-26,2814,22.75,949.61,E,G5,< 1 year,MORTGAGE,62369.15,Verified,debt_consolidation,18.55,3,29,2,13974,19.7,19,761,769,2,synthetic,synthetic loan,smoke
0,val,2014-05-27,15594,29.51,44.77,E,G5,< 1 year,RENT,117677.61,Verified,credit_card,11.58,2,14,0,20675,26.19,46,711,730,2,synthetic,synthetic loan,smoke
0,val,2014-05-28,21098,20.29,585.51,F,C4,10+ years,OWN,52862.45,Not Verified,credit_card,31.84,4,29,1,42773,62.7,16,732,779,2,synthetic,synthetic loan,smoke
0,val,2014-05-29,18543,6.36,757.92,D,F4,< 1 year,OWN,162138.47,Verified,credit_card,36.3,1,27,2,43133,38.82,52,697,715,1,synthetic,synthetic loan,smoke
0,val,2014-05-30,24144,20.41,71.38,A,F1,1 year,OWN,168746.66,Not Verified,credit_card,32.11,3,27,0,19494,34.54,23,711,740,3,synthetic,synthetic loan,smoke
1,val,2014-05-31,28305,6.06,465.44,B,G3,10+ years,RENT,35972.97,Verified,debt_consolidation,10.64,2,17,1,16459,53.39,4,706,686,1,synthetic,synthetic loan,smoke
1,val,2014-06-01,14383,27.1,989.37,F,G2,5 years,RENT,37184.47,Verified,credit_card,10.97,2,24,0,26536,77.19,10,667,750,3,synthetic,synthetic loan,smoke
0,val,2014-06-02,29159,22.74,751.91,D,E3,< 1 year,OWN,38452.23,Not Verified,home_improvement,10.19,4,28,2,45593,37.89,48,769,700,0,synthetic,synthetic loan,smoke
0,val,2014-06-03,11811,9.33,291.92,E,C4,1 year,MORTGAGE,119131.08,Not Verified,credit_card,5.4,3,8,1,48826,58.75,52,680,761,2,synthetic,synthetic loan,smoke
0,val,2014-06-04,34470,7.29,943.95,D,E2,10+ years,OWN,39515.03,Not Verified,debt_consolidation,37.75,2,2,1,11338,96.62,14,712,776,4,synthetic,synthetic loan,smoke
0,val,2014-06-05,18153,9.59,408.91,B,C2,1 year,MORTGAGE,156381.17,Not Verified,home_improvement,16.08,2,10,2,9324,52.2,36,687,784,4,synthetic,synthetic loan,smoke
0,val,2014-06-06,26024,29.5,944.55,G,C3,5 years,MORTGAGE,140683.44,Not Verified,debt_consolidation,8.99,3,19,1,35338,90.98,35,682,794,4,synthetic,synthetic loan,smoke
0,val,2014-06-07,30750,16.46,356.88,F,E2,5 years,MORTGAGE,151169.42,Not Verified,credit_card,33.87,1,16,2,15070,79.37,9,712,681,4,synthetic,synthetic loan,smoke
0,val,2014-06-08,27950,24.6,665.74,G,D5,5 years,OWN,104169.68,Verified,credit_card,15.97,0,3,0,9988,5.87,28,788,683,0,synthetic,synthetic loan,smoke
0,val,2014-06-09,29938,20.91,460.76,F,E1,< 1 year,MORTGAGE,179468.35,Verified,credit_card,1.4,2,17,0,1553,42.91,42,792,793,2,synthetic,synthetic loan,smoke
0,test,2014-06-10,19241,19.31,331.31,C,C4,10+ years,OWN,27068.02,Verified,home_improvement,6.48,0,6,2,20160,69.83,58,713,717,3,synthetic,synthetic loan,smoke
1,test,2014-06-11,2478,8.63,979.75,B,C5,10+ years,RENT,84202.39,Verified,credit_card,25.57,0,15,2,19591,98.67,51,730,667,4,synthetic,synthetic loan,smoke
0,test,2014-06-12,17764,28.65,238.85,B,A1,< 1 year,MORTGAGE,71829.87,Verified,home_improvement,31.32,2,17,1,28152,45.84,7,797,704,3,synthetic,synthetic loan,smoke
0,test,2014-06-13,7170,12.53,129.9,G,E2,10+ years,OWN,171783.28,Verified,debt_consolidation,8.44,3,19,1,10009,9.28,15,692,781,5,synthetic,synthetic loan,smoke
0,test,2014-06-14,31229,19.45,402.44,D,E1,10+ years,OWN,112297.75,Verified,home_improvement,36.7,3,12,0,35718,56.2,27,792,713,1,synthetic,synthetic loan,smoke
0,test,2014-06-15,9049,22.49,800.7,D,G3,5 years,OWN,148990.55,Not Verified,credit_card,34.04,1,12,2,34001,12.66,10,674,674,0,synthetic,synthetic loan,smoke
1,test,2014-06-16,8754,21.23,895.88,G,D3,1 year,RENT,47254.59,Verified,debt_consolidation,33.94,2,20,2,23117,75.15,35,691,765,0,synthetic,synthetic loan,smoke
1,test,2014-06-17,9479,28.51,1098.67,E,D2,1 year,OWN,176581.46,Not Verified,debt_consolidation,9.11,0,22,0,9066,50.77,2,707,691,3,synthetic,synthetic loan,smoke
0,test,2014-06-18,22847,8.71,354.14,G,A3,10+ years,OWN,99782.33,Verified,home_improvement,2.02,3,24,1,25347,72.34,8,665,713,3,synthetic,synthetic loan,smoke
1,test,2014-06-19,20421,17.71,472.42,G,B2,< 1 year,OWN,98987.53,Not Verified,credit_card,34.7,1,10,1,33740,86.94,4,774,664,1,synthetic,synthetic loan,smoke
0,test,2014-06-20,33260,15.1,185.03,A,C2,10+ years,RENT,175341.56,Not Verified,credit_card,12.23,3,13,1,18635,62.89,19,779,748,4,synthetic,synthetic loan,smoke
0,test,2014-06-21,15152,16.85,649.36,C,C4,10+ years,OWN,80917.18,Verified,debt_consolidation,24.76,4,10,2,13173,61.24,46,713,726,4,synthetic,synthetic loan,smoke
0,test,2014-06-22,10597,7.98,1097.43,F,C3,5 years,OWN,83604.0,Verified,credit_card,30.4,3,16,0,25325,75.46,12,777,785,2,synthetic,synthetic loan,smoke
1,test,2014-06-23,2674,8.35,782.93,F,C4,1 year,OWN,113560.43,Not Verified,home_improvement,5.13,1,4,0,17760,84.25,59,768,710,1,synthetic,synthetic loan,smoke
0,test,2014-06-24,1240,11.95,670.93,B,F2,5 years,RENT,40488.42,Not Verified,debt_consolidation,31.23,4,13,0,20025,86.91,17,772,692,4,synthetic,synthetic loan,smoke
0,test,2014-06-25,13702,12.62,455.91,C,A5,< 1 year,OWN,71373.7,Verified,credit_card,37.54,3,6,2,17443,3.64,4,772,687,4,synthetic,synthetic loan,smoke
0,test,2014-06-26,32477,15.7,1010.22,D,C2,10+ years,RENT,50913.33,Not Verified,credit_card,29.13,3,16,1,15173,55.62,21,740,692,1,synthetic,synthetic loan,smoke
1,test,2014-06-27,18807,20.27,566.73,F,B1,1 year,MORTGAGE,36525.36,Not Verified,home_improvement,17.65,4,25,2,35837,21.63,45,675,727,1,synthetic,synthetic loan,smoke
1,test,2014-06-28,31380,20.87,182.43,A,C1,< 1 year,MORTGAGE,158583.14,Verified,debt_consolidation,35.07,4,29,1,23012,86.03,8,789,676,2,synthetic,synthetic loan,smoke
0,test,2014-06-29,4456,15.3,427.3,E,E4,10+ years,MORTGAGE,114292.99,Verified,credit_card,21.1,0,13,0,23325,64.84,6,745,720,3,synthetic,synthetic loan,smoke
1,test,2014-06-30,4172,15.22,111.2,C,A2,5 years,OWN,77387.65,Verified,home_improvement,29.79,4,2,1,32654,42.02,51,786,783,0,synthetic,synthetic loan,smoke
1,test,2014-07-01,29337,10.44,254.1,B,C2,5 years,RENT,85387.1,Not Verified,debt_consolidation,32.82,3,7,0,18064,18.81,36,794,771,5,synthetic,synthetic loan,smoke
0,test,2014-07-02,4629,19.71,58.73,D,A1,< 1 year,MORTGAGE,89043.04,Not Verified,home_improvement,29.97,1,4,2,5051,33.9,21,686,753,2,synthetic,synthetic loan,smoke
0,test,2014-07-03,2766,12.93,520.48,C,G4,10+ years,MORTGAGE,121303.87,Not Verified,home_improvement,11.51,1,23,2,42631,70.38,45,716,789,2,synthetic,synthetic loan,smoke
0,test,2014-07-04,14739,5.9,712.61,E,F1,5 years,MORTGAGE,168283.1,Not Verified,home_improvement,4.71,3,29,2,2785,20.44,50,686,773,0,synthetic,synthetic loan,smoke
0,test,2014-07-05,32444,15.46,403.89,C,B4,10+ years,RENT,169244.74,Verified,credit_card,9.53,1,17,1,28597,9.36,22,667,755,5,synthetic,synthetic loan,smoke
0,test,2014-07-06,24439,16.85,485.6,F,B2,10+ years,RENT,82638.72,Verified,home_improvement,20.11,2,6,0,13291,88.8,34,795,784,1,synthetic,synthetic loan,smoke
0,test,2014-07-07,4369,10.64,1056.76,A,A4,< 1 year,RENT,72681.99,Verified,home_improvement,20.21,3,1,0,10691,76.42,2,789,681,5,synthetic,synthetic loan,smoke
0,test,2014-07-08,29462,19.31,837.08,G,D2,< 1 year,MORTGAGE,92167.44,Verified,home_improvement,23.31,3,29,1,2097,19.98,19,790,778,2,synthetic,synthetic loan,smoke
0,test,2014-07-09,29681,19.14,613.31,A,F2,10+ years,MORTGAGE,110869.48,Not Verified,credit_card,15.8,4,10,1,45004,29.23,36,783,705,5,synthetic,synthetic loan,smoke
1,test,2014-07-10,28223,22.55,341.61,F,E1,5 years,MORTGAGE,93890.87,Not Verified,credit_card,31.48,0,4,2,21460,97.21,13,750,766,1,synthetic,synthetic loan,smoke
0,test,2014-07-11,31690,21.2,990.82,C,G1,1 year,MORTGAGE,125400.55,Verified,credit_card,36.53,1,6,2,17132,70.82,59,733,791,0,synthetic,synthetic loan,smoke
0,test,2014-07-12,9155,21.31,289.2,C,C3,1 year,RENT,108703.84,Not Verified,debt_consolidation,9.87,4,8,0,37061,61.05,58,798,733,4,synthetic,synthetic loan,smoke
1,test,2014-07-13,34305,12.91,384.86,A,B5,5 years,RENT,71314.49,Not Verified,home_improvement,29.46,2,20,0,1948,30.76,16,737,676,4,synthetic,synthetic loan,smoke
0,test,2014-07-14,11903,24.69,1003.61,E,D2,10+ years,MORTGAGE,75316.93,Verified,home_improvement,27.12,1,26,1,28227,29.91,24,749,715,3,synthetic,synthetic loan,smoke
0,test,2014-07-15,28268,18.73,601.31,B,B3,< 1 year,OWN,80574.85,Not Verified,credit_card,20.92,1,8,1,24730,3.95,12,689,720,0,synthetic,synthetic loan,smoke
0,test,2014-07-16,20698,15.79,826.86,E,G5,5 years,RENT,35142.36,Not Verified,debt_consolidation,7.54,1,20,0,27671,72.85,31,764,795,5,synthetic,synthetic loan,smoke
1,test,2014-07-17,27502,20.65,666.19,F,B2,10+ years,OWN,46570.02,Not Verified,credit_card,31.81,2,2,2,6196,4.32,9,774,795,2,synthetic,synthetic loan,smoke
0,test,2014-07-18,22345,14.02,732.65,F,D2,1 year,MORTGAGE,135698.21,Not Verified,credit_card,38.43,1,1,2,47626,0.49,24,754,743,5,synthetic,synthetic loan,smoke
0,test,2014-07-19,22844,17.82,357.35,E,D4,1 year,RENT,82255.47,Verified,credit_card,28.87,3,2,1,11923,72.95,34,729,797,5,synthetic,synthetic loan,smoke
